,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
164,1412,QF0494-QF0497,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
165,1413,QF0422-QF0411,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
166,1414,QF0436-QF0425,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
167,1415,QF0464-QF0425,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
168,1416,QF0464-QF0487,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
169,1417,QF0470-QF0425,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
170,1418,QF0484-QF0425,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
171,1419,QF0490-QF0487,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
172,1420,QF0490-QF0497,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
173,1421,QF0420-QF0407,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
174,1422,QF0494-QF0425,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
175,1423,QF0494-QF0487,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
176,1424,VA0849-VA0804,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
177,1425,VA0807-VA0810,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
178,1426,VA0849-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
179,1427,VA0849-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
180,1428,VA0845-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
181,1429,VA0849-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
182,1430,VA0833-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
183,1431,VA0841-VA0814,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
184,1432,VA0891-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
185,1433,VA0887-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
186,1434,VA0887-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
187,1435,VA0887-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
188,1436,VA0885-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
189,1437,VA0885-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
190,1438,VA0827-VA0810,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
