['MVD']|['MIA']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['MIA']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['MIA']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['MIA']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['NYC']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['NYC']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['NYC']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['NYC']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['SYD']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['SYD']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['SYD']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['SYD']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['MAD']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['MAD']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['MAD']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['MAD']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['MEX']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['MEX']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['MEX']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['MEX']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['LON']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['LON']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['LON']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['LON']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['MIA']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['MIA']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['MIA']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['MIA']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['NYC']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['NYC']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['NYC']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['NYC']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['SYD']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['SYD']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['SYD']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['SYD']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['MAD']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['MAD']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['MAD']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['MAD']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['MEX']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['MEX']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['MEX']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['MEX']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['LON']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['LON']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['LON']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['LON']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
