,type,name,continent,iso_country,iso_region,iata_code,coordinates
17455,medium_airport,Takoradi Airport,AF,GH,GH-WP,TKD,"4.896059989929199, -1.7747600078582764"
17459,medium_airport,Port Bouet Airport,AF,CI,CI-01,ABJ,"5.261390209197998, -3.9262900352478027"
17463,medium_airport,Bouaké Airport,AF,CI,CI-04,BYK,"7.738800048828125, -5.073669910430908"
17468,medium_airport,Daloa Airport,AF,CI,CI-02,DJO,"6.792809963226318, -6.473189830780029"
17473,medium_airport,Korhogo Airport,AF,CI,CI-03,HGO,"9.38718032837, -5.55666017532"
17474,medium_airport,Man Airport,AF,CI,CI-06,MJC,"7.272069931030273, -7.58735990524292"
17478,medium_airport,San Pedro Airport,AF,CI,CI-09,SPY,"4.746719837188721, -6.660820007324219"
17483,medium_airport,Yamoussoukro Airport,AF,CI,CI-07,ASK,"6.9031701088, -5.36558008194"
17530,large_airport,Nnamdi Azikiwe International Airport,AF,NG,NG-FC,ABV,"9.006790161132812, 7.263169765472412"
17531,large_airport,Akwa Ibom International Airport,AF,NG,NG-AK,QUO,"4.8725, 8.093"
17532,medium_airport,Akure Airport,AF,NG,NG-ON,AKR,"7.246739864349365, 5.3010101318359375"
17533,medium_airport,Asaba International Airport,AF,NG,NG-DE,ABB,"6.204167, 6.665278"
17535,medium_airport,Sir Abubakar Tafawa Balewa International Airport,AF,NG,NG-BA,BCU,"10.482833, 9.744"
17536,medium_airport,Benin Airport,AF,NG,NG-ED,BNI,"6.316979885101318, 5.5995001792907715"
17538,medium_airport,Margaret Ekpo International Airport,AF,NG,NG-CR,CBQ,"4.976019859313965, 8.347200393676758"
17540,medium_airport,Akanu Ibiam International Airport,AF,NG,NG-EN,ENU,"6.474269866943359, 7.561960220336914"
17543,medium_airport,Gusau Airport,AF,NG,NG-ZA,,"12.1717, 6.69611"
17544,medium_airport,Ibadan Airport,AF,NG,NG-OY,IBA,"7.362460136413574, 3.97832989692688"
17545,medium_airport,Ilorin International Airport,AF,NG,NG-KW,ILR,"8.440210342407227, 4.493919849395752"
17546,medium_airport,Sam Mbakwe International Airport,AF,NG,NG-IM,QOW,"5.427060127258301, 7.206029891967773"
17548,medium_airport,Yakubu Gowon Airport,AF,NG,NG-PL,JOS,"9.639829635620117, 8.869050025939941"
17549,medium_airport,Kaduna Airport,AF,NG,NG-KD,KAD,"10.696000099182129, 7.320109844207764"
17550,large_airport,Mallam Aminu International Airport,AF,NG,NG-KN,KAN,"12.0476, 8.52462"
17551,medium_airport,Maiduguri International Airport,AF,NG,NG-BO,MIU,"11.855299949645996, 13.080900192260742"
17552,medium_airport,Makurdi Airport,AF,NG,NG-BE,MDI,"7.70388, 8.61394"
