,Unnamed: 0,x
429,16537,"Saskatoon John G. Diefenbaker International Airport,Saskatoon John G. Diefenbaker International Airport(YXE)"
430,16538,"Medicine Hat Airport,Medicine Hat Airport(YXH)"
431,16540,"Fort St John Airport,Fort St John Airport(YXJ)"
432,16541,"Rimouski Airport,Rimouski Airport(YXK)"
433,16542,"Sioux Lookout Airport,Sioux Lookout Airport(YXL)"
434,16543,"Whale Cove Airport,Whale Cove Airport(YXN)"
435,16544,"Pangnirtung Airport,Pangnirtung Airport(YXP)"
436,16545,"Beaver Creek Airport,Beaver Creek Airport(YXQ)"
437,16546,"Earlton (Timiskaming Regional) Airport,Earlton (Timiskaming Regional) Airport(YXR)"
438,16547,"Prince George Airport,Prince George Airport(YXS)"
439,16548,"Northwest Regional Airport Terrace-Kitimat,Northwest Regional Airport Terrace-Kitimat(YXT)"
440,16549,"London Airport,London Airport(YXU)"
441,16550,"Abbotsford Airport,Abbotsford Airport(YXX)"
442,16551,"Whitehorse / Erik Nielsen International Airport,Whitehorse / Erik Nielsen International Airport(YXY)"
443,16552,"Wawa Airport,Wawa Airport(YXZ)"
444,16553,"North Bay Jack Garland Airport,North Bay Jack Garland Airport(YYB)"
445,16554,"Calgary International Airport,Calgary International Airport(YYC)"
446,16555,"Smithers Airport,Smithers Airport(YYD)"
447,16556,"Fort Nelson Airport,Fort Nelson Airport(YYE)"
448,16557,"Penticton Airport,Penticton Airport(YYF)"
449,16558,"Charlottetown Airport,Charlottetown Airport(YYG)"
450,16559,"Taloyoak Airport,Taloyoak Airport(YYH)"
451,16560,"Victoria International Airport,Victoria International Airport(YYJ)"
452,16561,"Lynn Lake Airport,Lynn Lake Airport(YYL)"
453,16563,"Swift Current Airport,Swift Current Airport(YYN)"
454,16565,"Churchill Airport,Churchill Airport(YYQ)"
455,16566,"Goose Bay Airport,Goose Bay Airport(YYR)"
456,16567,"St. John's International Airport,St. John's International Airport(YYT)"
457,16568,"Kapuskasing Airport,Kapuskasing Airport(YYU)"
458,16569,"Armstrong Airport,Armstrong Airport(YYW)"
459,16570,"Mont Joli Airport,Mont Joli Airport(YYY)"
460,16571,"Lester B. Pearson International Airport,Lester B. Pearson International Airport(YYZ)"
461,16572,"Downsview Airport,Downsview Airport(YZD)"
462,16573,"Gore Bay Manitoulin Airport,Gore Bay Manitoulin Airport(YZE)"
463,16574,"Yellowknife Airport,Yellowknife Airport(YZF)"
464,16575,"Salluit Airport,Salluit Airport(YZG)"
465,16576,"Slave Lake Airport,Slave Lake Airport(YZH)"
466,16577,"Sandspit Airport,Sandspit Airport(YZP)"
467,16578,"Chris Hadfield Airport,Chris Hadfield Airport(YZR)"
468,16579,"Coral Harbour Airport,Coral Harbour Airport(YZS)"
469,16580,"Port Hardy Airport,Port Hardy Airport(YZT)"
470,16581,"Whitecourt Airport,Whitecourt Airport(YZU)"
471,16582,"Sept-Îles Airport,Sept-Îles Airport(YZV)"
472,16583,"Teslin Airport,Teslin Airport(YZW)"
473,16584,"CFB Greenwood,CFB Greenwood(YZX)"
475,16749,"York Landing Airport,York Landing Airport(ZAC)"
476,16750,"Shuswap Regional Airport,Shuswap Regional Airport(YSN)"
477,16752,"Boundary Bay Airport,Boundary Bay Airport(YDT)"
478,16753,"Ilford Airport,Ilford Airport(ILF)"
479,16754,"Bathurst Airport,Bathurst Airport(ZBF)"
480,16755,"Bromont (Roland Desourdy) Airport,Bromont (Roland Desourdy) Airport(ZBM)"
481,16756,"Kelsey Airport,Kelsey Airport(KES)"
482,16757,"Eastmain River Airport,Eastmain River Airport(ZEM)"
483,16758,"Faro Airport,Faro Airport(ZFA)"
484,16759,"Fond-Du-Lac Airport,Fond-Du-Lac Airport(ZFD)"
485,16760,"Pukatawagan Airport,Pukatawagan Airport(XPK)"
486,16761,"Fort Mcpherson Airport,Fort Mcpherson Airport(ZFM)"
487,16762,"Tulita Airport,Tulita Airport(ZFN)"
488,16763,"Grand Forks Airport,Grand Forks Airport(ZGF)"
489,16764,"Gods River Airport,Gods River Airport(ZGI)"
490,16765,"Little Grand Rapids Airport,Little Grand Rapids Airport(ZGR)"
491,16768,"Jenpeg Airport,Jenpeg Airport(ZJG)"
492,16769,"Swan River Airport,Swan River Airport(ZJN)"
493,16771,"Kashechewan Airport,Kashechewan Airport(ZKE)"
494,16772,"Thicket Portage Airport,Thicket Portage Airport(YTD)"
495,16773,"Muskrat Dam Airport,Muskrat Dam Airport(MSA)"
496,16775,"Pikwitonei Airport,Pikwitonei Airport(PIW)"
497,16776,"Masset Airport,Masset Airport(ZMT)"
498,16778,"Poplar River Airport,Poplar River Airport(XPP)"
499,16781,"Sachigo Lake Airport,Sachigo Lake Airport(ZPB)"
500,16782,"Pincher Creek Airport,Pincher Creek Airport(WPC)"
501,16784,"Round Lake (Weagamow Lake) Airport,Round Lake (Weagamow Lake) Airport(ZRJ)"
502,16785,"Sandy Lake Airport,Sandy Lake Airport(ZSJ)"
503,16786,"South Indian Lake Airport,South Indian Lake Airport(XSI)"
504,16787,"Stewart Airport,Stewart Airport(ZST)"
