,Unnamed: 0,name,iso_country,municipality,iata_code
3117,39581,Fukushima Airport,JP,Sukagawa,FKS
3120,39584,Akita Airport,JP,Akita,AXT
3121,39585,Misawa Air Base,JP,Misawa,MSJ
3122,39586,Niigata Airport,JP,Niigata,KIJ
3123,39588,Odate Noshiro Airport,JP,Odate,ONJ
3124,39589,Sendai Airport,JP,Sendai,SDJ
3125,39592,Shonai Airport,JP,Shonai,SYO
3127,39597,Hachijojima Airport,JP,Hachijojima,HAC
3128,39602,Oshima Airport,JP,Izu Oshima,OIM
3129,39603,Miyakejima Airport,JP,Miyakejima,MYE
3130,39606,Tokyo Haneda International Airport,JP,Tokyo,HND
3131,39609,Yokota Air Base,JP,Fussa,OKO
3132,39868,Muan International Airport,KR,Piseo-ri (Muan),MWX
3133,39869,Gwangju Airport,KR,Gwangju,KWJ
3134,39870,Kunsan Air Base,KR,Kunsan,KUV
3135,39874,Yeosu Airport,KR,Yeosu,RSU
3136,39878,Gangneung Airport (K-18),KR,Gangneung,KAG
3137,39881,Wonju/Hoengseong Air Base (K-38/K-46),KR,Wonju,WJU
3138,39882,Yangyang International Airport,KR,Gonghang-ro,YNY
3139,39883,Jeju International Airport,KR,Jeju City,CJU
3140,39884,Jeongseok Airport,KR,Jeju Island,JDG
3141,39886,Gimhae International Airport,KR,Busan,PUS
3142,39888,Sacheon Air Base/Airport,KR,Sacheon,HIN
3143,39889,Ulsan Airport,KR,Ulsan,USN
3144,39905,Incheon International Airport,KR,Seoul,ICN
3145,39907,Seoul Air Base (K-16),KR,Simgok-dong,SSN
